source_id,ra,ra_error,dec,dec_error,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,grvs_mag,grvs_mag_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
1360397493343669632,258.99894232557955,0.058802675,43.16180497177893,0.062581226,0.23586098940932465,-2.5873740487987185,-10.628954490405643,17.394539,17.765469,16.87144,0.8940277,0.37092972,0.523098,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5402.271,4.6464,-0.8488,1968.0857,0.0114,0.0094,0.0051
1360397527702529536,259.01777684784565,0.12283093,43.16351533541367,0.14743358,0.02363026184667706,1.413645556352201,-16.33741321386441,18.741333,19.247578,18.03938,1.2081985,0.50624466,0.7019539,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4614.4756,4.8135,-1.1849,1800.723,0.0053,0.0041,0.0022
1360397527702536704,259.0224761199246,0.14318265,43.16931843972765,0.16248222,-0.05794003857776246,-3.152474923164827,-2.025695676785671,18.864845,19.172401,18.482626,0.68977547,0.30755615,0.3822193,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,6134.6,4.6791,-1.4567,5208.3574,0.0032,0.0028,0.0015
1360397532003061504,259.00964890215386,0.4774009,43.165181066625486,0.5409888,0.45081574988824547,-4.827325348438616,-0.8298996694854655,20.396875,20.651249,19.978758,0.6724911,0.25437355,0.41811752,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397532003062272,259.0171028806523,0.08590024,43.17579848734938,0.09342778,0.39574352123102574,-1.3372624673072437,0.8949682613024035,18.105106,18.607063,17.460012,1.1470509,0.50195694,0.6450939,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4788.42,4.7232,-0.7126,1749.1505,0.0036,0.0028,0.0015
1360397562062292480,259.0495561781384,0.10800793,43.180689963541646,0.12115208,0.8636389525144172,-1.6674741957821508,-7.955268939015918,18.320234,19.327087,17.355286,1.9718018,1.0068531,0.96494865,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3672.4282,4.6458,-0.7187,726.6005,0.3211,0.2246,0.1241
1360397596422033280,259.06896981912075,0.21644871,43.18215207595144,0.24282126,0.6703122942525379,-4.895640935301456,-0.7706909940104737,19.471771,19.702776,19.086952,0.61582375,0.23100471,0.38481903,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397596422035840,259.05024753769624,0.116187155,43.183790709524544,0.1308703,1.781783922939714,-8.875555248761247,17.64078644508764,18.493624,19.673262,17.441618,2.2316437,1.1796379,1.0520058,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3506.6895,4.6062,-1.053,496.9587,0.5071,0.3426,0.2018
1360397596422052096,259.0663354688879,0.42683834,43.19318121379528,0.5269866,-0.7134282792925943,-5.329598035224575,-0.06779331975643055,20.398434,20.592972,19.860685,0.73228645,0.19453812,0.53774834,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397596424422272,259.061598370071,0.3117621,43.184730862698096,0.34312168,-0.2956224575421166,-4.892172924011742,-0.539336261149897,19.943941,20.388477,19.49373,0.8947468,0.4445362,0.45021057,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397596426578304,259.06117496887254,0.19109742,43.1857447841553,0.2209648,-0.012063627216013617,-3.4662640404181637,-1.960289905259577,19.313248,19.602282,18.892483,0.7097988,0.2890339,0.42076492,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397600721592192,259.0693801590593,3.4455905,43.184821483433474,4.3549376,,,,21.043026,22.368538,20.319414,2.0491238,1.3255119,0.72361183,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397600722534400,259.05267056644607,0.023185305,43.17388706949144,0.02525311,0.12092662561165302,-4.9910089192433595,-0.45276163710577344,15.443868,15.483649,15.386436,0.09721279,0.03978157,0.05743122,,,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
1360397600722535040,259.06683588989034,0.04403648,43.19021562834108,0.050046142,0.5317439373422197,0.5405365647826109,-1.1981553080471967,16.824253,17.203794,16.260149,0.9436455,0.3795414,0.5641041,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5264.7915,4.6316,-0.6882,1422.6196,0.0155,0.0127,0.0069
1360397630782633344,259.03494262634825,0.119046964,43.178911068377566,0.13688692,0.18203233918012124,-2.265103020402739,-2.937892842100516,18.58374,18.97259,18.078663,0.8939266,0.38884926,0.50507736,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5401.3784,4.7138,-0.9266,3209.3813,0.0029,0.0024,0.0013
1360397665142382592,259.05232623594543,0.874539,43.196822681652634,1.1661772,-1.326399232285823,-1.4147854870984327,-2.3330629827096736,20.714882,20.988497,19.836666,1.1518307,0.27361488,0.8782158,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397665142387968,259.0665010304535,0.38885838,43.203048950161396,0.4309684,0.8483105565770057,-4.402784569167888,-0.43235608327119623,20.206287,20.543146,19.837683,0.7054634,0.33685875,0.36860466,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397669438825600,259.050381969338,0.43694976,43.195575836694914,0.4914586,0.5562676810006255,0.007884196852778302,-7.830706582758115,20.253891,21.003904,19.334385,1.6695194,0.75001335,0.9195061,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397699501221248,259.0838138867113,0.628275,43.163859139761264,0.65406317,-1.1725118179680383,-6.772308772826418,0.9167644961860895,19.76159,19.836206,19.078478,0.7577286,0.074617386,0.6831112,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397699501225472,259.09161217783253,0.29266,43.16725335501276,0.32003468,1.3092547441972406,1.872335883717562,-5.444839212304949,19.81043,21.145226,18.62338,2.5218449,1.334795,1.1870499,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
1360397699501228288,259.0837657830691,0.81834906,43.169676153928044,0.8323529,0.5716639470646672,-5.613864592276913,-0.4464887577573029,20.633568,21.046455,20.432997,0.61345863,0.41288757,0.20057106,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
