source_id,ra,ra_error,dec,dec_error,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,grvs_mag,grvs_mag_error,phot_variable_flag,non_single_star,has_xp_continuous,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
6083511254251053824,201.86481193702008,0.45212004,-47.6635214249525,0.55313337,-0.2938021233747922,-3.6081543923363952,-7.80008048071245,20.215662,21.022657,20.153152,0.8695049,0.8069954,0.06250954,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251059840,201.87134976911904,1.383019,-47.664337826028905,1.5874358,1.0418179908593603,-4.907280532416715,-9.46249411983867,20.84162,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251060608,201.8724248066577,0.73959905,-47.66434882770952,0.8487637,0.9228924918903685,-5.062632986400754,-5.867028300675052,20.532284,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911575794688,201.55076855164398,5.8530536,-47.4515415056778,7.5836945,,,,18.776709,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911575798784,201.55157167788468,0.23645079,-47.447751114835455,0.36547792,-0.7259460323579751,-3.6436202781194647,-6.907380252519554,17.833143,17.532408,16.568542,0.9638653,-0.30073547,1.2646008,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911575799552,201.55260775969876,0.39686918,-47.44777629983062,0.47094417,,,,18.241697,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911575800960,201.5540440252145,0.37109062,-47.44724448954779,0.49335012,1.8895191227336052,-5.5880898462106225,-4.294972449778297,18.251064,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911575802624,201.5561656110151,1.5091072,-47.44784798165512,1.878004,,,,18.576105,17.867075,16.989468,0.87760735,-0.70903015,1.5866375,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911576746752,201.5502365776655,0.55644274,-47.448772457854574,0.6078093,,,,17.69608,16.93591,15.979209,0.9567003,-0.76017,1.7168703,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911576747520,201.54686091124898,13.980329,-47.45175872100301,16.93431,,,,19.100824,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911576748928,201.54165704308605,1.2077453,-47.45599990885687,2.523404,,,,19.252584,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911576829056,201.55256676222353,1.7774308,-47.455671027231176,3.0719821,,,,18.760387,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911576857088,201.53896482098685,15.600779,-47.4555683597907,27.293074,,,,,,15.287405,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583141760,201.54227264867032,0.12592107,-47.46631400452953,0.16747813,0.5702334043333455,-3.3786163824844317,-7.044730786151757,17.026646,16.760118,15.836347,0.92377186,-0.26652718,1.190299,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583144320,201.54084215066712,0.7370011,-47.46488780713174,0.9944565,-8.977482462250439,-4.1645714968196526,-4.921256844537517,18.323042,17.467306,16.559748,0.90755844,-0.8557358,1.7632942,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583148544,201.53928768362283,0.6972894,-47.462073765289546,0.73592186,,,,18.446127,17.568283,16.656872,0.9114113,-0.87784386,1.7892551,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583153024,201.55012262517127,0.048650026,-47.460328531008756,0.066851236,0.15596596155418668,-2.118857789629956,-6.796259653826056,15.411636,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583154944,201.55332545410099,1.0639546,-47.459354856123745,1.3025894,,,,18.573135,17.841873,17.199715,0.6421585,-0.7312622,1.3734207,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583155968,201.54745469897694,0.14993346,-47.45896446508435,0.16499136,0.288459533850252,-3.6188007296281457,-6.62023709899345,16.852602,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583156224,201.5385779269279,0.36480388,-47.45879064440793,0.3007213,,,,18.354862,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583158016,201.5485725337862,7.146383,-47.4571317105315,3.7918801,,,,18.396568,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083712911583158400,201.53716097502388,0.30643082,-47.457855686097126,0.5199588,-3.7203799210355655,-3.2460524925793433,-9.650525530139738,17.55445,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300365056,201.25942793466868,0.6627472,-47.49084934073284,0.6575648,-0.7955008191406768,-0.9025092261066816,-5.60374203207804,20.477606,21.003407,19.909626,1.0937805,0.5258007,0.5679798,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300365952,201.26922991040271,0.6513907,-47.49872053489146,0.5410106,0.20848002507622887,-4.126391975359625,-5.494787184892424,20.365038,20.939098,19.97503,0.96406746,0.57406044,0.39000702,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300369536,201.26730276650082,0.6466039,-47.4958516063898,0.46029064,-0.30792103067860915,-3.878987033159668,-7.429657289144355,20.124641,20.819925,19.67494,1.1449852,0.6952839,0.4497013,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300370304,201.2645973753238,0.49821663,-47.49333002360657,0.41980663,-0.6863481170404251,-3.4920551626373246,-7.738284928031176,20.05454,20.548412,19.51917,1.0292416,0.4938717,0.5353699,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300380928,201.2717167625517,0.68063205,-47.49577902250913,0.6505588,0.19217786663574987,-4.207802314603084,-6.133253469950581,20.463259,20.995773,19.91343,1.082344,0.5325146,0.5498295,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300386944,201.27282638202044,3.0860248,-47.494352211203875,2.005924,,,,20.961262,21.710686,19.919868,1.7908173,0.749424,1.0413933,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300393728,201.26816685314176,0.53799516,-47.48832697843699,0.41887808,0.31391178083160864,-3.6388856343866403,-6.525063873774044,20.1822,20.736446,19.626516,1.10993,0.5542469,0.55568314,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300396160,201.27575072962924,13.708262,-47.493856579209464,6.6633525,,,,20.786785,21.433432,19.81648,1.616951,0.6466465,0.9703045,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300397952,201.26768083405562,0.98652285,-47.486427466377194,0.84561914,-1.7982431682582738,-18.112936801399275,-2.514206206886001,20.627768,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
