source_id,teff_gspphot,logg_gspphot,mh_gspphot
1360216177003958016,,,
1360216181298779008,,,
1360216181298781440,,,
1360216245723434112,,,
1360216245723434240,,,
1360216245723436288,12429.996,4.3747,-0.7815
1360216245723443712,6321.9404,4.5973,-1.4859
1360216245723444096,,,
1360216245727790848,,,
1360216245728948352,6357.6772,4.5861,-3.1872
1360216250018269056,,,
1360216250018269952,,,
1360216250018271360,,,
1360216250018273920,,,
1360216250018274048,,,
1360216250018274304,,,
1360216250018275840,,,
1360216250018277632,,,
1360216250018735104,,,
1360216250019646720,,,
1360216250019649408,4980.3013,4.2841,-0.8674
1360216250019650048,5656.754,4.6736,-2.7859
1360216250019650176,,,
1360216250019650304,6181.3535,4.1117,-1.0862
1360216250019650432,5970.6875,4.7175,-4.1021
1360216250020153728,,,
1360216383162388352,6473.517,4.5759,-1.8895
1360216383162388992,,,
1360216383162392192,,,
1360216383162594688,,,
1360216383162594944,,,
1360216383162596352,,,
1360216387457158400,,,
1360216387457160192,,,
1360216387457160320,,,
1360216387457163904,,,
1360216387457164160,,,
1360216387457170304,,,
1360216387458582016,6400.408,4.5736,-2.2876
1360216387458583424,3631.9124,4.7332,0.1024
1360216387458584192,5869.8877,4.1514,-1.5744
1360216387458584832,6044.918,4.047,-1.4778
1360216387458684032,,,
1360216451881883904,,,
1360216451882226560,,,
1360216456177336960,,,
1360216486241606016,,,
1360216486241613312,6376.1045,4.6158,-1.4472
1360216486241614720,,,
1360216486241614848,,,
1360216486241616128,6371.2896,4.5926,-1.971
1360216486241616256,6071.705,4.6237,-3.6476
1360216486241616512,,,
1360216486241618176,6136.7656,4.5449,-2.1026
1360216486241618304,,,
1360216486241618432,,,
1360216486241619840,,,
1360216486241620480,,,
1360216486241622400,,,
1360216486241623808,5621.265,4.3952,-4.107
1360216486241624192,,,
1360216662335116416,,,
1360216486241625856,,,
1360216486241810560,,,
1360216486241811968,,,
1360216486241962624,6370.531,4.597,-1.405
1360216486241963648,,,
1360216486247121152,,,
1360216490536363776,,,
1360216490536366848,,,
1360216490536367232,,,
1360216490536368640,,,
1360216490536528896,,,
1360216490536912896,,,
1360216490536916480,,,
1360216490537145728,,,
1360216490537145984,,,
1360216490537793920,,,
1360216490537794048,,,
1360216490537794304,,,
1360216490537794688,,,
1360216490537798912,,,
1360216520601362304,6369.3384,4.4937,-1.1099
