source_id,teff_gspphot,logg_gspphot,mh_gspphot
4689621262329503744,,,
4689632635404710272,,,
4689632635404711040,,,
4689632738492985088,,,
4689632802931040640,,,
4689632802931043584,,,
4689632802931045760,,,
4689632807212407168,,,
4689632910282381696,,,
4689632910282389632,,,
4689632940369615104,,,
4689632944651406464,,,
4689633971161961856,,,
4689637445779054208,,,
4689638850232458368,,,
4689638850232483328,,,
4689638850232508032,,,
4689638850232537344,,,
4689638850232548480,,,
4689638850232552960,,,
4689639850950446976,,,
4689639850950449920,,,
4689639850950451712,,,
4689639850950451840,,,
4689639850950451968,,,
4689639850950452480,,,
4689807316025265920,,,
4689807384744771712,,,
4689621365409582464,,,
4689621365409965312,,,
4689621365418506624,,,
4689807556543297536,,,
4689623216552569088,,,
4689830547492485760,,,
4689830994172547584,,,
4689623530081754752,,,
4689623530082576896,,,
4689623594509894656,,,
4689625316788609920,,,
4689625522947020672,,,
4689625522947022080,,,
4689625797815214336,,,
4689625797815214592,,,
4689625797815215104,,,
4689625827911895424,,,
4689625866534608896,,,
4689625866534609024,,,
4689625866534609792,,,
4689625866534609920,,,
4689625866544336000,,,
4689625866544336128,,,
4689625866544654592,,,
4689626072702532992,,,
4689626072703306624,,,
4689626102755547264,,,
4689626102756700160,,,
4689626102776292352,,,
4689626102776411136,,,
4689626102776411392,,,
4689626102776412288,,,
4689626102776412544,,,
4689626102776412672,,,
4689626107062232064,,,
4689630024064891520,,,
4689630122868822528,,,
4689630230223112448,,,
4689630230223208448,,,
4689630230223235328,,,
4689630230232250880,,,
4689631501532980224,,,
4689632974702453248,,,
4689632979011109760,,,
4689633009089430144,,,
4689633013361594368,,,
4689633013361827200,,,
4689633013361896320,,,
4689633146528459264,,,
4689633799354644608,,,
4689633803635495040,,,
4689633803635498496,,,
4689633971161965312,,,
4689831028528699008,,,
4689623560156148480,,,
4689623594515967872,,,
4689623594515974016,,,
4689623598790417536,,,
4689623598790417664,,,
4689623598790417792,,,
4689623598790417920,,,
4689623598790419584,,,
4689623598790421376,,,
4689623598790421504,,,
4689623598790421760,,,
4689623598790422272,,,
4689623598790422656,,,
4689623598790423680,,,
4689623598790424576,,,
4689623598790424704,,,
4689623598790424832,,,
4689623598800778368,,,
4689624835742064768,,,
4689624835752236416,,,
4689624865837369984,,,
4689624865837370496,,,
4689624865837370880,,,
4689624865837399296,,,
4689624865837399424,,,
4689624865837399552,,,
4689624865837399808,,,
4689624865837400192,,,
4689624865837625600,,,
4689624865837626624,,,
4689624865837627392,,,
4689624865837631744,,,
4689624865837633280,,,
4689624865837635840,,,
4689625110620616960,,,
4689625110620619776,,,
4689625110620646016,,,
4689625144980326656,,,
4689625144980327040,,,
4689625144980327936,,,
4689836388647651968,,,
4689625144980806912,,,
4689625144980952064,,,
4689625144981013760,,,
4689625144981041280,,,
4689625144981098880,,,
4689625144981118464,,,
4689625144989918592,,,
4689625351148318080,,,
4689625351148328960,,,
4689625381232946176,,,
4689625381232970752,,,
4689625381232971904,,,
4689625381232972544,,,
4689625381232973568,,,
4689625381232973696,,,
4689625381232974080,,,
4689625419867792384,,,
4689625419867806080,,,
4689625419867806848,,,
4689625419867807488,,,
4689839309225266944,,,
4689625449952818176,,,
4689625454227540480,,,
4689625454227552256,,,
4689625454227552768,,,
4689625553013649152,,,
4689625553032254208,,,
4689625553032260096,,,
4689625553032260224,,,
4689625553032260352,,,
4689625553032262144,,,
4689625553032263040,,,
4689625553032274944,,,
4689625553032278400,,,
4689625553032280064,,,
4689625553032284800,,,
4689625557306722944,,,
4689625557306723072,,,
4689625587391867264,,,
4689625587391867648,,,
4689625591656233856,,,
4689625591666454528,,,
4689625591666455552,,,
4689625621753769088,,,
4689625621753770368,,,
4689625626015925760,,,
4689625626015925888,,,
4689625626015930624,,,
4689625626015933440,,,
4689625626015938432,,,
4689625656111320448,,,
4689625656111324160,,,
4689625656111328512,,,
4689625656111504256,,,
4689625656111508608,,,
4689625656111509376,,,
4689625656111509632,,,
4689625656111511936,,,
4689625656111513984,,,
4689625656111516544,,,
4689625656111518720,,,
4689625660376208512,,,
4689626485019193728,,,
4689625660376208640,,,
4689625660376209280,,,
4689625660376209408,,,
4689625660376210944,,,
4689625660376253952,,,
4689625660376254080,,,
4689626485019195136,,,
4689625660376254208,,,
4689625660376260096,,,
4689625660376260224,,,
4689625660376264576,,,
4689625660376809344,,,
4689625660377098240,,,
4689625660385901312,,,
4689625660385902976,,,
4689625690473153664,,,
4689625690473153792,,,
4689625690473244160,,,
4689625690473741440,,,
4689625763455441536,,,
4689626485019195264,,,
4689625763455457792,,,
4689625763465129088,,,
4689625763465140736,,,
4689625763465141120,,,
4689625827912446976,,,
4689625827912455168,,,
4689625827912459776,,,
4689625827912460160,,,
4689625827912466944,,,
4689625866544655104,,,
4689625866544655232,,,
4689625866544655744,,,
4689625866544655872,,,
4689625866544665472,,,
4689625866544667392,,,
4689625896611373440,,,
4689625896630950912,,,
4689625896631588352,,,
4689625896631657472,,,
4689625896631658368,,,
4689625930991725696,,,
4689625930991732864,,,
4689625930991742464,,,
4689625930991760128,,,
4689625930991766656,,,
4689625930991771264,,,
4689625930992288768,,,
4689625930992297472,,,
4689625935254035328,,,
4689625935254042624,,,
4689625935254043776,,,
4689625935254045440,,,
4689625935254046976,,,
4689625935254047232,,,
4689625935254051072,,,
4689625935254051968,,,
4689625935254052736,,,
4689625935254054016,,,
4689625935254056064,,,
4689625935254056192,,,
4689625935254057216,,,
4689626274575056128,,,
4689626274575058048,,,
4689626274575058816,,,
4689626274575218432,,,
4689626274575218688,,,
4689626274575220608,,,
4689626274575223552,,,
4689626274575224192,,,
4689626278850964864,,,
4689626278860912640,,,
4689626278860926464,,,
4689626308928726144,,,
4689626308934620544,,,
4689626308934640128,,,
4689626308934705280,,,
4689626313210533632,,,
4689626313210591616,,,
4689626313210633472,,,
4689626313210633728,,,
4689626313210636160,,,
4689626313210636416,,,
4689626343294422656,,,
4689626343296117376,,,
4689626343296118400,,,
4689626343296118528,,,
4689626343296121856,,,
4689626343296123776,,,
4689626343296127360,,,
4689626343296130176,,,
4689626343296132096,,,
4689626347570378112,,,
4689626347570418560,,,
4689626347580376192,,,
4689626377648118400,,,
4689626377655490688,,,
4689626377655878656,,,
4689626377655880320,,,
4689626377655884288,,,
4689626381930046464,,,
4689626381930629504,,,
4689626381930629632,,,
4689626381930631424,,,
4689626381930647808,,,
4689626381940033536,,,
4689626381940051712,,,
4689626381940052352,,,
4689626381940054528,,,
4689626381940054656,,,
4689626381940056704,,,
